"Race Statistics" ,"Number of Precincts" ,"NP" ,"Total" ,442 ,
"HOUSE DISTRICT 31" ,"Seaton, Paul" ,"DEM" ,"Total" ,4236 ,
"HOUSE DISTRICT 31" ,"Vance, Sarah L." ,"REP" ,"Total" ,5243 ,
"HOUSE DISTRICT 31" ,"Write-in" ,"NP" ,"Total" ,91 ,
"HOUSE DISTRICT 32" ,"Number of Precincts for Race" ,"NP" ,"Total" ,14 ,
"HOUSE DISTRICT 32" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,14 ,
"HOUSE DISTRICT 32" ,"Registered Voters" ,"NP" ,"Total" ,13565 ,
"HOUSE DISTRICT 32" ,"Times Counted" ,"NP" ,"Total" ,6273 ,
"HOUSE DISTRICT 32" ,"Katelnikoff-Lester" ,"NA" ,"Total" ,767 ,
"HOUSE DISTRICT 32" ,"Stutes, Louise" ,"REP" ,"Total" ,3261 ,
"HOUSE DISTRICT 32" ,"Harris, Dennis P." ,"DEM" ,"Total" ,2072 ,
"HOUSE DISTRICT 32" ,"Write-in" ,"NP" ,"Total" ,40 ,
"HOUSE DISTRICT 33" ,"Number of Precincts for Race" ,"NP" ,"Total" ,11 ,
"HOUSE DISTRICT 33" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,11 ,
"HOUSE DISTRICT 33" ,"Registered Voters" ,"NP" ,"Total" ,15936 ,
"HOUSE DISTRICT 33" ,"Times Counted" ,"NP" ,"Total" ,9277 ,
"HOUSE DISTRICT 33" ,"Hannan, Sara" ,"DEM" ,"Total" ,5073 ,
"HOUSE DISTRICT 33" ,"Dimond, Chris" ,"NA" ,"Total" ,3855 ,
"HOUSE DISTRICT 33" ,"Write-in" ,"NP" ,"Total" ,45 ,
"HOUSE DISTRICT 34" ,"Number of Precincts for Race" ,"NP" ,"Total" ,7 ,
"HOUSE DISTRICT 34" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,7 ,
"HOUSE DISTRICT 34" ,"Registered Voters" ,"NP" ,"Total" ,15507 ,
"HOUSE DISTRICT 34" ,"Times Counted" ,"NP" ,"Total" ,8876 ,
"HOUSE DISTRICT 34" ,"Nankervis, Jerry A." ,"REP" ,"Total" ,4110 ,
"HOUSE DISTRICT 34" ,"Story, Andrea" ,"DEM" ,"Total" ,4650 ,
"HOUSE DISTRICT 34" ,"Write-in" ,"NP" ,"Total" ,13 ,
"HOUSE DISTRICT 35" ,"Number of Precincts for Race" ,"NP" ,"Total" ,14 ,
"HOUSE DISTRICT 35" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,14 ,
"HOUSE DISTRICT 35" ,"Registered Voters" ,"NP" ,"Total" ,15246 ,
"HOUSE DISTRICT 35" ,"Times Counted" ,"NP" ,"Total" ,7992 ,
"HOUSE DISTRICT 35" ,"Wein, Richard J." ,"REP" ,"Total" ,3367 ,
"HOUSE DISTRICT 35" ,"Kreiss-Tomkins, Jona" ,"DEM" ,"Total" ,4480 ,
"HOUSE DISTRICT 35" ,"Write-in" ,"NP" ,"Total" ,32 ,
"HOUSE DISTRICT 36" ,"Number of Precincts for Race" ,"NP" ,"Total" ,10 ,
"HOUSE DISTRICT 36" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,10 ,
"HOUSE DISTRICT 36" ,"Registered Voters" ,"NP" ,"Total" ,14699 ,
"HOUSE DISTRICT 36" ,"Times Counted" ,"NP" ,"Total" ,7272 ,
"HOUSE DISTRICT 36" ,"Ortiz, Daniel H. " ,"NA" ,"Total" ,4256 ,
"HOUSE DISTRICT 36" ,"Shaw, Trevor A." ,"REP" ,"Total" ,2793 ,
"HOUSE DISTRICT 36" ,"Write-in" ,"NP" ,"Total" ,72 ,
"HOUSE DISTRICT 37" ,"Number of Precincts for Race" ,"NP" ,"Total" ,35 ,
"HOUSE DISTRICT 37" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,35 ,
"HOUSE DISTRICT 37" ,"Registered Voters" ,"NP" ,"Total" ,10478 ,
"HOUSE DISTRICT 37" ,"Times Counted" ,"NP" ,"Total" ,4638 ,
"HOUSE DISTRICT 37" ,"Weatherby, William W" ,"REP" ,"Total" ,1588 ,
"HOUSE DISTRICT 37" ,"Edgmon, Bryce E." ,"DEM" ,"Total" ,2911 ,
"HOUSE DISTRICT 37" ,"Write-in" ,"NP" ,"Total" ,13 ,
"HOUSE DISTRICT 38" ,"Number of Precincts for Race" ,"NP" ,"Total" ,31 ,
"HOUSE DISTRICT 38" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,31 ,
"HOUSE DISTRICT 38" ,"Registered Voters" ,"NP" ,"Total" ,11803 ,
"HOUSE DISTRICT 38" ,"Times Counted" ,"NP" ,"Total" ,5330 ,
"HOUSE DISTRICT 38" ,"Zulkosky, Tiffany" ,"DEM" ,"Total" ,2843 ,
"HOUSE DISTRICT 38" ,"Deacon, Darren M." ,"REP" ,"Total" ,2252 ,
"HOUSE DISTRICT 38" ,"Write-in" ,"NP" ,"Total" ,15 ,
"HOUSE DISTRICT 39" ,"Number of Precincts for Race" ,"NP" ,"Total" ,33 ,
"HOUSE DISTRICT 39" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,33 ,
"HOUSE DISTRICT 39" ,"Registered Voters" ,"NP" ,"Total" ,12164 ,
"HOUSE DISTRICT 39" ,"Times Counted" ,"NP" ,"Total" ,5629 ,
"HOUSE DISTRICT 39" ,"Foster, Neal W." ,"DEM" ,"Total" ,4963 ,
"HOUSE DISTRICT 39" ,"Write-in" ,"NP" ,"Total" ,211 ,
"HOUSE DISTRICT 40" ,"Number of Precincts for Race" ,"NP" ,"Total" ,23 ,
"HOUSE DISTRICT 40" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,23 ,
"HOUSE DISTRICT 40" ,"Registered Voters" ,"NP" ,"Total" ,9922 ,
"HOUSE DISTRICT 40" ,"Times Counted" ,"NP" ,"Total" ,4182 ,
"HOUSE DISTRICT 40" ,"Mack, Leanna R." ,"NA" ,"Total" ,711 ,
"HOUSE DISTRICT 40" ,"Savok, Patrick G. " ,"NA" ,"Total" ,878 ,
"HOUSE DISTRICT 40" ,"Lincoln, John" ,"DEM" ,"Total" ,2404 ,
"HOUSE DISTRICT 40" ,"Write-in 40" ,"NP" ,"Total" ,29 ,
"Ballot Measure No. 1 - 17FSH2" ,"Number of Precincts for Race" ,"NP" ,"Total" ,441 ,
"Ballot Measure No. 1 - 17FSH2" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,441 ,
"Ballot Measure No. 1 - 17FSH2" ,"Registered Voters" ,"NP" ,"Total" ,571320 ,
"Ballot Measure No. 1 - 17FSH2" ,"Times Counted" ,"NP" ,"Total" ,284891 ,
"Ballot Measure No. 1 - 17FSH2" ,"YES" ,"NP" ,"Total" ,103836 ,
"Ballot Measure No. 1 - 17FSH2" ,"NO" ,"NP" ,"Total" ,171711 ,
"Sup Court JD1 Carey" ,"Number of Precincts for Race" ,"NP" ,"Total" ,43 ,
"Sup Court JD1 Carey" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,43 ,
"Sup Court JD1 Carey" ,"Registered Voters" ,"NP" ,"Total" ,61859 ,
"Sup Court JD1 Carey" ,"Times Counted" ,"NP" ,"Total" ,34170 ,
"Sup Court JD1 Carey" ,"YES" ,"NP" ,"Total" ,20482 ,
"Sup Court JD1 Carey" ,"NO" ,"NP" ,"Total" ,8700 ,
"Sup Court JD3 Corey" ,"Number of Precincts for Race" ,"NP" ,"Total" ,239 ,
"Sup Court JD3 Corey" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,239 ,
"Sup Court JD3 Corey" ,"Registered Voters" ,"NP" ,"Total" ,390712 ,
"Sup Court JD3 Corey" ,"Times Counted" ,"NP" ,"Total" ,195076 ,
"Sup Court JD3 Corey" ,"YES" ,"NP" ,"Total" ,79526 ,
"Sup Court JD3 Corey" ,"NO" ,"NP" ,"Total" ,89510 ,
"Sup Court JD3 Morse" ,"Number of Precincts for Race" ,"NP" ,"Total" ,239 ,
"Sup Court JD3 Morse" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,239 ,
"Sup Court JD3 Morse" ,"Registered Voters" ,"NP" ,"Total" ,390712 ,
"Sup Court JD3 Morse" ,"Times Counted" ,"NP" ,"Total" ,195076 ,
"Sup Court JD3 Morse" ,"YES" ,"NP" ,"Total" ,91761 ,
"Sup Court JD3 Morse" ,"NO" ,"NP" ,"Total" ,72706 ,
"Sup Court JD3 Walker Jr. " ,"Number of Precincts for Race" ,"NP" ,"Total" ,239 ,
"Sup Court JD3 Walker Jr. " ,"Number of Precincts Reporting" ,"NP" ,"Total" ,239 ,
"Sup Court JD3 Walker Jr. " ,"Registered Voters" ,"NP" ,"Total" ,390712 ,
"Sup Court JD3 Walker Jr. " ,"Times Counted" ,"NP" ,"Total" ,195076 ,
"Sup Court JD3 Walker Jr. " ,"YES" ,"NP" ,"Total" ,94110 ,
"Sup Court JD3 Walker Jr. " ,"NO" ,"NP" ,"Total" ,69841 ,
"Sup Court JD3 Wolverton" ,"Number of Precincts for Race" ,"NP" ,"Total" ,239 ,
"Sup Court JD3 Wolverton" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,239 ,
"Sup Court JD3 Wolverton" ,"Registered Voters" ,"NP" ,"Total" ,390712 ,
"Sup Court JD3 Wolverton" ,"Times Counted" ,"NP" ,"Total" ,195076 ,
"Sup Court JD3 Wolverton" ,"YES" ,"NP" ,"Total" ,94339 ,
"Sup Court JD3 Wolverton" ,"NO" ,"NP" ,"Total" ,67114 ,
"Sup Court JD4 Lyle" ,"Number of Precincts for Race" ,"NP" ,"Total" ,122 ,
"Sup Court JD4 Lyle" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,122 ,
"Sup Court JD4 Lyle" ,"Registered Voters" ,"NP" ,"Total" ,102417 ,
"Sup Court JD4 Lyle" ,"Times Counted" ,"NP" ,"Total" ,47324 ,
"Sup Court JD4 Lyle" ,"YES" ,"NP" ,"Total" ,27513 ,
"Sup Court JD4 Lyle" ,"NO" ,"NP" ,"Total" ,14680 ,
"Sup Court JD4 McConahy" ,"Number of Precincts for Race" ,"NP" ,"Total" ,122 ,
"Sup Court JD4 McConahy" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,122 ,
"Sup Court JD4 McConahy" ,"Registered Voters" ,"NP" ,"Total" ,102417 ,
"Sup Court JD4 McConahy" ,"Times Counted" ,"NP" ,"Total" ,47324 ,
"Sup Court JD4 McConahy" ,"YES" ,"NP" ,"Total" ,26866 ,
"Sup Court JD4 McConahy" ,"NO" ,"NP" ,"Total" ,15139 ,
"Dis Court JD1 Miller" ,"Number of Precincts for Race" ,"NP" ,"Total" ,43 ,
"Dis Court JD1 Miller" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,43 ,
"Dis Court JD1 Miller" ,"Registered Voters" ,"NP" ,"Total" ,61859 ,
"Dis Court JD1 Miller" ,"Times Counted" ,"NP" ,"Total" ,34170 ,
"Dis Court JD1 Miller" ,"YES" ,"NP" ,"Total" ,21940 ,
"Dis Court JD1 Miller" ,"NO" ,"NP" ,"Total" ,7245 ,
"Dis Court JD1 Swanson" ,"Number of Precincts for Race" ,"NP" ,"Total" ,43 ,
"Dis Court JD1 Swanson" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,43 ,
"Dis Court JD1 Swanson" ,"Registered Voters" ,"NP" ,"Total" ,61859 ,
"Dis Court JD1 Swanson" ,"Times Counted" ,"NP" ,"Total" ,34170 ,
"Dis Court JD1 Swanson" ,"YES" ,"NP" ,"Total" ,21770 ,
"Dis Court JD1 Swanson" ,"NO" ,"NP" ,"Total" ,6505 ,
"Dis Court JD3 Chung" ,"Number of Precincts for Race" ,"NP" ,"Total" ,239 ,
"Dis Court JD3 Chung" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,239 ,
"Dis Court JD3 Chung" ,"Registered Voters" ,"NP" ,"Total" ,390712 ,
"Dis Court JD3 Chung" ,"Times Counted" ,"NP" ,"Total" ,195076 ,
"Dis Court JD3 Chung" ,"YES" ,"NP" ,"Total" ,101952 ,
"Dis Court JD3 Chung" ,"NO" ,"NP" ,"Total" ,61622 ,
"Dis Court JD3 Clark" ,"Number of Precincts for Race" ,"NP" ,"Total" ,239 ,
"Dis Court JD3 Clark" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,239 ,
"Dis Court JD3 Clark" ,"Registered Voters" ,"NP" ,"Total" ,390712 ,
"Dis Court JD3 Clark" ,"Times Counted" ,"NP" ,"Total" ,195076 ,
"Dis Court JD3 Clark" ,"YES" ,"NP" ,"Total" ,97424 ,
"Dis Court JD3 Clark" ,"NO" ,"NP" ,"Total" ,64776 ,
"Dis Court JD3 Estelle" ,"Number of Precincts for Race" ,"NP" ,"Total" ,239 ,
"Dis Court JD3 Estelle" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,239 ,
"Dis Court JD3 Estelle" ,"Registered Voters" ,"NP" ,"Total" ,390712 ,
"Dis Court JD3 Estelle" ,"Times Counted" ,"NP" ,"Total" ,195076 ,
"Dis Court JD3 Estelle" ,"YES" ,"NP" ,"Total" ,94610 ,
"Dis Court JD3 Estelle" ,"NO" ,"NP" ,"Total" ,67596 ,
"Dis Court JD3 Illsley" ,"Number of Precincts for Race" ,"NP" ,"Total" ,239 ,
"Dis Court JD3 Illsley" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,239 ,
"Dis Court JD3 Illsley" ,"Registered Voters" ,"NP" ,"Total" ,390712 ,
"Dis Court JD3 Illsley" ,"Times Counted" ,"NP" ,"Total" ,195076 ,
"Dis Court JD3 Illsley" ,"YES" ,"NP" ,"Total" ,98926 ,
"Dis Court JD3 Illsley" ,"NO" ,"NP" ,"Total" ,63968 ,
"Dis Court JD3 Wolfe" ,"Number of Precincts for Race" ,"NP" ,"Total" ,239 ,
"Dis Court JD3 Wolfe" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,239 ,
"Dis Court JD3 Wolfe" ,"Registered Voters" ,"NP" ,"Total" ,390712 ,
"Dis Court JD3 Wolfe" ,"Times Counted" ,"NP" ,"Total" ,195076 ,
"Dis Court JD3 Wolfe" ,"YES" ,"NP" ,"Total" ,96717 ,
"Dis Court JD3 Wolfe" ,"NO" ,"NP" ,"Total" ,65692 ,
"Dis Court JD4 Seekins" ,"Number of Precincts for Race" ,"NP" ,"Total" ,122 ,
"Dis Court JD4 Seekins" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,122 ,
"Dis Court JD4 Seekins" ,"Registered Voters" ,"NP" ,"Total" ,102417 ,
"Dis Court JD4 Seekins" ,"Times Counted" ,"NP" ,"Total" ,47324 ,
"Dis Court JD4 Seekins" ,"YES" ,"NP" ,"Total" ,27794 ,
"Dis Court JD4 Seekins" ,"NO" ,"NP" ,"Total" ,14522 ,
